,cluster,ted,ride_count,lat,lng
52,4.0,0.8516450253839922,12.0,-23.523371166666667,-46.66772175
53,5.0,1.042115392049322,20.0,-23.5650003,-46.6788233
54,6.0,1.0185043017350637,30.0,-23.555678133333334,-46.689068166666665
55,7.0,1.0958404659859107,60.0,-23.625640983333334,-46.65853825
56,8.0,1.0034029912723175,10.0,-23.513538,-46.609433
57,9.0,0.8698363315459524,10.0,-23.5396007,-46.6751492
58,10.0,0.9613582157195604,82.0,-23.56319836585366,-46.65282317073171
59,11.0,1.0066466325720498,26.0,-23.541464653846155,-46.652553423076924
60,12.0,0.979401982797023,17.0,-23.509886,-46.625072
61,13.0,0.921051040284256,16.0,-23.593795,-46.6760644375
62,14.0,1.0433778665001887,14.0,-23.51362657142857,-46.62575571428572
63,15.0,1.1454584629289835,10.0,-23.597667,-46.6972845
64,16.0,0.9628943935021766,27.0,-23.557429,-46.676939
65,17.0,0.9720993518761106,26.0,-23.55675761538462,-46.67042411538462
66,18.0,0.9361838795285127,17.0,-23.536500647058826,-46.669588764705885
67,19.0,0.9089805901112485,17.0,-23.527386705882353,-46.667073411764704
68,20.0,0.966096865249456,16.0,-23.5535854375,-46.651459625
69,21.0,1.137003252037714,10.0,-23.609818100000002,-46.6940552
70,22.0,1.0907287118176827,14.0,-23.60122235714286,-46.665912142857145
71,23.0,0.9375444753773906,14.0,-23.566351071428574,-46.68567785714286
72,24.0,1.004904391810047,47.0,-23.570939510638297,-46.64449808510638
73,25.0,0.946331474965282,18.0,-23.57168233333333,-46.65723777777778
74,26.0,1.1119916416217484,12.0,-23.562310999999998,-46.693241083333334
75,27.0,0.9417476914413486,10.0,-23.5971695,-46.6370003
76,28.0,1.0234920976592008,11.0,-23.557778636363636,-46.645827181818184
77,29.0,1.106949915330874,35.0,-23.5710038,-46.69094065714286
78,30.0,0.9897300161841012,13.0,-23.57822646153846,-46.670979461538465
79,31.0,0.9332754005484015,13.0,-23.59123676923077,-46.68933669230769
80,32.0,1.0647535326359125,17.0,-23.582461176470588,-46.687439294117645
81,33.0,1.0116761043442448,10.0,-23.5497943,-46.643332
82,34.0,1.0981299741620272,10.0,-23.596491399999998,-46.6679601
83,35.0,1.0257073700376007,10.0,-23.5387494,-46.660258999999996
84,36.0,0.9904198192336594,11.0,-23.59861472727273,-46.67680009090909
85,37.0,1.1124429897901376,10.0,-23.5728933,-46.6681773
86,38.0,0.9097457564867016,12.0,-23.53646116666667,-46.65591808333334
87,39.0,0.8905362697251489,10.0,-23.530071799999998,-46.6781627
88,40.0,0.9478255088483069,10.0,-23.607474200000002,-46.6647719
89,41.0,0.9706106635602988,11.0,-23.56164745454545,-46.68178009090909
90,42.0,0.9325484480976282,13.0,-23.563415923076924,-46.689742692307696
91,43.0,0.8890414045431627,17.0,-23.501276470588238,-46.62538105882353
92,44.0,0.9806163183222901,5.0,-23.5631354,-46.6840644
