,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng,fee,earning_pct,earning_base_fare_pct,traffic_benchmark,ted,bfd,cfd,pud,tei,bfi,cfi,pui,tedi,bfdi,cfdi,pudi
31,UberX,2023-11-09,19:53:00,4 min 2 sec,1.49 km,"R. Heitor Penteado, Sumarézinho - São Paulo - SP, 05437-002, BR","Rua Harmonia, Pinheiros - São Paulo - SP, 05435-000, BR",6.54,6.54,10.9,6.54,4.36,2023-11-09 19:53:00,0 days 00:04:02,1.49,"[-23.5431451, -46.6949409]","[-23.5556505, -46.6877182]",40.0,60.0,60.0,2.7069351230425056,1.6214876033057852,1.6214876033057852,2.7024793388429753,1.0809917355371903,4.389261744966443,4.389261744966443,7.315436241610739,2.9261744966442955,1.0882467136280438,1.0882467136280438,1.8137445227134064,0.7254978090853627
32,UberX,2023-11-09,19:33:00,9 min 51 sec,2.42 km,"Rua Roma, Lapa - São Paulo - SP, 05050-090, BR","Rua Bica de Pedra, Perdizes - São Paulo - SP, 05028-140, BR",12.02,11.02,13.37,12.02,-1.07,2023-11-09 19:33:00,0 days 00:09:51,2.42,"[-23.5227259, -46.7017216]","[-23.5398646, -46.6965347]",-8.00299177262528,89.90276738967839,82.42333582647719,4.070247933884297,1.2203045685279188,1.1187817258883248,1.3573604060913704,-0.1086294416243655,4.966942148760331,4.553719008264463,5.524793388429752,-0.44214876033057854,0.5042580861685615,0.46230649830096066,0.5608927297898225,-0.044888199018332846
33,UberX,2023-11-09,19:21:00,9 min 20 sec,2.23 km,"Rua Conrado Moreschi, Lapa - São Paulo - SP, 05072-010, BR","Rua Tito, Lapa - São Paulo - SP, 05051-000, BR",11.99,10.74,19.99,11.99,8.0,2023-11-09 19:21:00,0 days 00:09:20,2.23,"[-23.5193712, -46.7021288]","[-23.5281336, -46.6985332]",40.020010005002504,59.97998999499751,53.72686343171586,4.185351270553064,1.284642857142857,1.1507142857142856,2.141785714285714,0.8571428571428571,5.376681614349776,4.816143497757848,8.964125560538116,3.587443946188341,0.5760730301089044,0.5160153747597693,0.9604420243433694,0.384368994234465
35,UberX,2023-11-09,16:03:00,5 min 21 sec,1.75 km,"Rua Guerra Junqueiro, Alto de Pinheiros - São Paulo - SP, 05463-030, BR","Rua Antônio de Gouveia Giudice, Alto de Pinheiros - São Paulo - SP, 05460-001, BR",6.54,6.54,10.9,6.54,4.36,2023-11-09 16:03:00,0 days 00:05:21,1.75,"[-23.5578839, -46.7084728]","[-23.5484143, -46.7132901]",40.0,60.0,60.0,3.057142857142857,1.222429906542056,1.222429906542056,2.0373831775700935,0.8149532710280375,3.737142857142857,3.737142857142857,6.228571428571429,2.4914285714285715,0.6985313751668892,0.6985313751668892,1.1642189586114822,0.4656875834445929
36,UberX,2023-11-09,15:42:00,16 min 53 sec,5.58 km,"R. Carlos Weber, Vila Leopoldina - São Paulo - SP, 05303-000, BR","Rua Cardoso de Melo Júnior, Alto de Pinheiros - São Paulo - SP, 05462-020, BR",14.95,14.95,24.91,19.95,9.96,2023-11-09 15:42:00,0 days 00:16:53,5.58,"[-23.5288199, -46.7296369]","[-23.5595039, -46.7044742]",39.98394219189081,80.08831794460056,60.01605780810919,3.0256869772998805,1.1816386969397827,0.8854886475814413,1.4754195459032577,0.5899308983218164,3.575268817204301,2.67921146953405,4.46415770609319,1.78494623655914,0.21176320733687862,0.15868972178878873,0.2644121050005838,0.10572238321179506
37,UberX,2023-11-09,15:00:00,4 min 18 sec,0.75 km,"Rua Nossa Senhora da Lapa, Lapa - São Paulo - SP, 05072-000, BR","Rua Faustolo, Lapa - São Paulo - SP, 05041-001, BR",6.18,6.18,8.93,6.18,2.75,2023-11-09 15:00:00,0 days 00:04:18,0.75,"[-23.5229062, -46.7042946]","[-23.5238169, -46.7001725]",30.795072788353867,69.20492721164614,69.20492721164614,5.733333333333333,1.4372093023255814,1.4372093023255814,2.0767441860465117,0.6395348837209303,8.24,8.24,11.906666666666666,3.6666666666666665,1.916279069767442,1.916279069767442,2.7689922480620157,0.8527131782945737
38,UberX,2023-11-09,14:32:00,17 min 13 sec,4.79 km,"Av. Raimundo Pereira de Magalhães, Jardim Iris - São Paulo - SP, 05145-000, BR","Rua Roma, Lapa - São Paulo - SP, 05050-090, BR",12.09,12.09,14.93,12.09,2.84,2023-11-09 14:32:00,0 days 00:17:13,4.79,"[-23.5049397, -46.7182712]","[-23.5227259, -46.7017216]",19.02210314802411,80.97789685197588,80.97789685197588,3.5942936673625607,0.7022265246853825,0.7022265246853825,0.8671829622458859,0.1649564375605034,2.5240083507306887,2.5240083507306887,3.116910229645094,0.5929018789144049,0.1466026147568648,0.1466026147568648,0.1810402843937131,0.03443766963684831
39,UberX,2023-11-09,13:54:00,14 min 22 sec,6.92 km,"Avenida Casa Verde, Casa Verde - São Paulo - SP, 02519-200, BR","Rua Maria Zélia, Pirituba - São Paulo - SP, 02913-070, BR",16.02,14.52,19.9,16.02,3.88,2023-11-09 13:54:00,0 days 00:14:22,6.92,"[-23.5026108, -46.6592217]","[-23.5028393, -46.7126701]",19.49748743718593,80.50251256281408,72.96482412060303,2.076107899807322,1.1150812064965197,1.0106728538283063,1.3851508120649652,0.27006960556844545,2.315028901734104,2.098265895953757,2.875722543352601,0.5606936416184971,0.16113890267290748,0.14605099043761652,0.20016630232152674,0.03902739964861929
40,UberX,2023-11-09,13:46:00,5 min 56 sec,1.60 km,"Rua João Rudge, Casa Verde - São Paulo - SP, 02513-020, BR","Av. Casa Verde, Casa Verde - São Paulo - SP, 02520-200, BR",8.54,6.64,14.17,8.54,5.63,2023-11-09 13:46:00,0 days 00:05:56,1.6,"[-23.5132101, -46.6561835]","[-23.5026108, -46.6592217]",39.7318278052223,60.26817219477769,46.85956245589273,3.7083333333333335,1.439325842696629,1.1191011235955055,2.388202247191011,0.9488764044943819,5.3374999999999995,4.1499999999999995,8.85625,3.51875,0.8995786516853931,0.6994382022471909,1.492626404494382,0.5930477528089887
41,UberX,2023-11-08,21:42:00,4 min 18 sec,1.38 km,"Rua Napoleão de Barros, Vila Mariana - São Paulo - SP, 04024-000, BR","Rua Bagé, Vila Mariana - São Paulo - SP, 04012-140, BR",6.11,6.11,9.98,6.11,3.87,2023-11-08 21:42:00,0 days 00:04:18,1.38,"[-23.5925325, -46.6434549]","[-23.5842281, -46.6462518]",38.77755511022044,61.22244488977956,61.22244488977956,3.1159420289855073,1.4209302325581397,1.4209302325581397,2.3209302325581396,0.9,4.4275362318840585,4.4275362318840585,7.2318840579710155,2.804347826086957,1.0296595888102462,1.0296595888102462,1.6818335018537245,0.6521739130434784
