,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
2454,Black,2024-08-19,08:17:00,33 min 16 sec,5.85 km,"Rua Doutor Alberto Seabra, Alto de Pinheiros - São Paulo - SP, 05452-001, BR","Avenida Brigadeiro Faria Lima, Pinheiros - São Paulo - SP, 01452-921, BR",38.09,32.34,41.23,-38.09,-0.23,2024-08-19 08:17:00,0 days 00:33:16,5.85,"[-23.542304, -46.7064259]","[-23.5775252, -46.6868419]"
2455,Black,2024-08-19,08:01:00,6 min 49 sec,2.62 km,"Rua Guerra Junqueiro, Alto de Pinheiros - São Paulo - SP, 05463-030, BR","Av. São Gualter, Alto de Pinheiros - São Paulo - SP, 05455-050, BR",20.76,13.51,22.9,-20.76,-0.17,2024-08-19 08:01:00,0 days 00:06:49,2.62,"[-23.5578839, -46.7084728]","[-23.5425589, -46.7115108]"
2456,Black,2024-08-19,07:36:00,8 min 23 sec,2.61 km,"Rua Camargo, Butantã - Sao Paulo - SP, 05510-050, BR","Av. Prof. Luciano Gualberto, Butantã - São Paulo - SP, 05508-900, BR",19.37,13.62,21.51,-19.37,1.38,2024-08-19 07:36:00,0 days 00:08:23,2.61,"[-23.5724751, -46.7097208]","[-23.5589665, -46.7305189]"
2457,Black,2024-08-19,07:20:00,12 min 31 sec,4.76 km,"Rua Iguatemi, Itaim Bibi - São Paulo - SP, 01451-011, BR","R. Gerivatiba, Butantã - São Paulo - SP, 05501-030, BR",21.31,19.56,33.38,-21.31,12.07,2024-08-19 07:20:00,0 days 00:12:31,4.76,"[-23.5840663, -46.6825717]","[-23.5699597, -46.7035303]"
2458,Comfort,2024-08-19,06:29:00,28 min 59 sec,8.03 km,"Rua Galofre, Vila Mariana - São Paulo - SP, 04116-240, BR","R. Funchal, Vila Olimpia - São Paulo - SP, 04551-060, BR",27.41,27.4,34.97,-30.41,7.56,2024-08-19 06:29:00,0 days 00:28:59,8.03,"[-23.591022, -46.6227073]","[-23.5939629, -46.6895851]"
2459,Black,2024-09-01,17:02:00,5 min 35 sec,2.09 km,"Rua Treze de Maio, Bela Vista - São Paulo - SP, 01327-905, BR","R. Maestro Cardim, Bela Vista - São Paulo - SP, 01323-001, BR",11.82,11.74,19.86,-17.82,0.64,2024-09-01 17:02:00,0 days 00:05:35,2.09,"[-23.5650212, -46.6450417]","[-23.5691479, -46.6421466]"
2460,Black,2024-09-01,15:04:00,11 min 44 sec,1.78 km,"Rua Monsenhor João Felipo, Mooca - São Paulo - SP, 03110-020, BR","Av. Henry Ford, Parque da Mooca - São Paulo - SP, 03109-000, BR",13.1,11.1,18.25,-13.1,-1.24,2024-09-01 15:04:00,0 days 00:11:44,1.78,"[-23.5569457, -46.6085624]","[-23.5669033, -46.6021788]"
2461,Black,2024-09-01,14:41:00,14 min 27 sec,4.95 km,"Rua da Glória, Sé - 圣保罗 - SP, 01510-001, BR","R. João Antônio de Oliveira, Mooca - São Paulo - SP, 03111-001, BR",21.36,21.36,33.04,-21.36,11.68,2024-09-01 14:41:00,0 days 00:14:27,4.95,"[-23.5567341, -46.6341371]","[-23.5624419, -46.6036799]"
2462,Black,2024-09-01,14:18:00,19 min 27 sec,9.18 km,"Rua Lima e Silva, Ipiranga - São Paulo - SP, 04215-020, BR","R. Quintino Bocaiúva, Sé - São Paulo - SP, 01004-010, BR",33.83,33.83,49.71,-33.83,15.88,2024-09-01 14:18:00,0 days 00:19:27,9.18,"[-23.5948687, -46.6017035]","[-23.5498801, -46.6350802]"
2463,Black,2024-09-01,13:47:00,15 min 4 sec,5.74 km,"R. Ribeiro Lacerda, Jardim Saude - São Paulo - SP, 04150-900, BR","Rua Mil Oitocentos e Vinte e Dois, Ipiranga - 圣保罗 - SP, 04216-001, BR",22.98,22.98,30.63,-22.98,7.65,2024-09-01 13:47:00,0 days 00:15:04,5.74,"[-23.6197995, -46.6229358]","[-23.5948696, -46.5985119]"
